DESTINATION_COUNTRY,BUYER_ADDRESS,BUYER_NAME,COUNTRY_ISO_CODE_2,CURRENCY,EXPORTER_ADDRESS,EXPORTER_NAME,EXP_DATE,FOB_VALUE,GROSS_WEIGHT,HS_CODE,INCOTERMS,NET_WEIGHT,PACKAGE_UNIT,PRODUCT_DESCRIPTION,QUANTITY_OF_PACKAGE,_id,HS_CODE_DESCRIPTION,initial_id
KENYA,,,KE,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,9732,141.1,85176299,EXW,0,PACKAGE,WIRELESS ACCESS POINT (FGS -ASSEMBLY FOR PCBA FOR BOX BUILD AND TEST),,a52eb17a-91c2-4471-80b6-ba65fa56261e,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1107
ITALY,,,IT,EUR,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,30715.6,132,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,3f7f1b73-ec8d-4bd3-a3e8-420f9e658816,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1108
UNITED STATES,"WORLDS FAIR DRIVE SOMERSET, NEW JERSEY, 08873, UNITED STATES",GO FOTON CORPORATION 28,US,USD,"PANORAMA CMPD 3 LOT 3 BLK 1 EAST MAIN AVE PH5 LAGUNA TECHNOPARK-SEZ, BINAN CITY, LAGUNA",GF MICRO OPTICS PHILIPPINES INC,2025-06-18T00:00:00Z,10000,7.1,85176249,DDP,2.41,BOX,FIBER OPTIC TEST EQUIPMENT BORROWED EQUIPMENT UNDER LOA LTP1 IP EE 24 0613,,3ec40508-b1d1-47c6-96d9-462361d15db4,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1109
SINGAPORE,,,SG,USD,"C103 G/F STANFORD TOWER CONDOMINIUM,1870 M.H. DEL PILAR ST., MALATE, MANILA",BORDERTRADE MANAGEMENT INC,2025-06-18T00:00:00Z,128.53,2,85176249,DAP,0,PACKAGE,"OTHER1 PIECE 25GBASE ACTIVE OPTICAL SFP28 CABLE, 1M",,40a2de1a-5bc6-45fa-bf6f-b21a984973bc,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1110
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,38016,1289,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,1d4742c6-b789-45d0-b3d5-3bc41de5c153,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1111
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,136176,2438.9,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,2466c4d1-35bd-46d9-b264-a9bf1c3e0915,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1112
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,142018.56,2755.7,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,74f5982b-163a-4986-9e14-caec4469db51,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1113
UNITED STATES,,,US,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,21135.2,21,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,47d09133-9e5b-4b04-aa9a-cb65dc91311d,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1114
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,23760,812,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,5aa0eb50-ec01-4186-82e3-094977f56d4d,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1115
SINGAPORE,,,SG,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,1578.5,1,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,e98f5bc2-e2e9-4b43-935a-7e33c5380a3c,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1116
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,19008,644.5,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,54c810cb-fd37-43b9-8e19-6e4747cb9ae2,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1117
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,"UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOOR, CAVITE",LOCAS CONSUMER GOODS TRADING,2025-06-18T00:00:00Z,2071.25,128.4,85176259,FOB,116.68,PACKAGE,STC MUSICAL INSTRUMENTS,,fca60464-3140-4774-977d-93b1fe99827b,SFP COPPER PATCH CBL 10G 5M PASSV W,1118
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,14256,489.8,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,4fd31438-6097-451d-9394-6d181439be3a,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1119
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,25344,859.3,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,8c6fbdcd-a995-48c1-ab16-fe987faa2bfe,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1120
HONG KONG,,HUAWEI TECH INVESTMENT CO LIMITED,HK,USD,"53RD FLOOR PBCOM TOWER AYALA AVENUE COR V A RUFINO ST SALCEDO, VILLAGE MAKATI CITY",HUAWEI TECHNOLOGIES PHILS INC,2025-06-18T00:00:00Z,922.48,9.4,85176249,CIP,4.7,PACKAGE,ASSEMBLING COMPONENTS ATN 910C ANGMHSTS0100 ATN 910C-S DC BASIC CONFIGURATION INCLUDES FIXED ENABLE INTERFACE 5*10GE/GE/FE O +3*GE/FE O +4*GE/FE E /DUAL POWER/FAN/CHASSIS,,e0ca5993-e622-43fd-b30d-2cded50f1f0e,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1121
SINGAPORE,,,SG,USD,"C103 G/F STANFORD TOWER CONDOMINIUM,1870 M.H. DEL PILAR ST., MALATE, MANILA",BORDERTRADE MANAGEMENT INC,2025-06-18T00:00:00Z,180,2,85176249,DAP,0,PACKAGE,OTHER1 PIECE ^CISCO SG350-10MP 10-PORT GIGABIT POE MANAGED SWITCH,,59e3ade1-db04-4460-bea0-deef0a654efb,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1122
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,"UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOOR, CAVITE",LOCAS CONSUMER GOODS TRADING,2025-06-18T00:00:00Z,2592.06,143.2,85176259,FOB,130.12,PACKAGE,STC MUSICAL INSTRUMENTS,,6a490e72-4e07-4316-aa4d-4ed2d6a2eb0a,SFP COPPER PATCH CBL 10G 5M PASSV W,1123
ARGENTINA,,,AR,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,17743.74,64,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,9e1c8807-ba4c-4535-81af-86c210105165,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1124
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,17022,304.9,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,8f3f0921-98c8-4617-aff7-81b3fd419378,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1125
NETHERLANDS,,,NL,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,17360,56,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,53bfd84c-13c0-4362-8717-903839fcd0c7,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1126
SINGAPORE,,,SG,USD,"C103 G/F STANFORD TOWER CONDOMINIUM,1870 M.H. DEL PILAR ST., MALATE, MANILA",BORDERTRADE MANAGEMENT INC,2025-06-18T00:00:00Z,518.71,2,85176249,DAP,0,PACKAGE,OTHER1 PIECE CISCO 900 SERIES INTEGRATED SERVICES ROUTERS,,69c8516a-80ba-4429-a66a-fd619984f939,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1127
CHINA,,,CN,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,4448,43.5,85176299,EXW,0,PACKAGE,WIRELESS ACCESS POINT (FGS -ASSEMBLY FOR PCBA FOR BOX BUILD AND TEST),,dfed418d-6f1c-46c1-a206-33f1bf848b2b,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1128
UNITED KINGDOM,,,UK,GBP,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,119555,278,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,efc83c77-4f5e-48e2-8e9f-27e479bfe244,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1129
UNITED STATES,"LLC. 15860 SOUTH GREEN RD. OLATHE, KS 66061 UNITED STATES",GOOGLE FIBER C O GXO LOGISTICS WORLDWIDE,US,USD,"PANORAMA CMPD 3 LOT 3 BLK 1 EAST MAIN AVE PH5 LAGUNA TECHNOPARK-SEZ, BINAN CITY, LAGUNA",GF MICRO OPTICS PHILIPPINES INC,2025-06-18T00:00:00Z,3410,50.3,85176249,FCA,25.52,BOX,HIGH DENSITY FIBER PATCH PANELS,,df1995c2-3e3b-4152-a105-d7e8643e6fa6,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1130
KENYA,,,KE,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,5752.8,147.1,85176299,EXW,0,PACKAGE,WIRELESS ACCESS POINT (FGS -ASSEMBLY FOR PCBA FOR BOX BUILD AND TEST),,f84b5e81-bdc7-45b2-a099-e4a19af0116b,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1131
AUSTRALIA,,,AU,USD,"C103 G/F STANFORD TOWER CONDOMINIUM,1870 M.H. DEL PILAR ST., MALATE, MANILA",BORDERTRADE MANAGEMENT INC,2025-06-18T00:00:00Z,1470.66,0.5,85176249,DAP,0,PACKAGE,"OTHER1 PIECE CPAK-100G-SR10 TRANSCEIVER MODULE, 100M OM3 MMF",,cec83d85-f8e1-4e1a-b3f5-0e14ae7e03c6,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1132
UNITED STATES,,,US,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,68336.92,287,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,81f143b4-b085-4439-9578-e45979c6d8af,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1133
UNITED STATES,,,US,USD,"CIRCUIT ST LISP I-SEZ BRGY DIEZMO,, CABUYAO, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,6308.19,23.5,85176210,EXW,0,PACKAGE,T-MARC 340 AC,,29823c6e-7bce-42f4-b95d-ac4b439c4a3d,"POWER SUPPLY-(NOTE:THIS DECLARATION INCLUDES HS-85177029000,85177029000,85176210000,85176210000,85291099000,85177099000,-GOODS DESCRIPTION IS FOR THIS HS CODE. WEIGHT,QUANTITY AND VALUE FIGURES ARE FOR THE DECLARATION.)",1134
UNITED STATES,"6645 LAS POSITAS ROAD LIVERMORE, CA 94551 5107 UNITED STATES",COMPUTACENTER DISTRIBUTION,US,USD,"PANORAMA CMPD 3 LOT 3 BLK 1 EAST MAIN AVE PH5 LAGUNA TECHNOPARK-SEZ, BINAN CITY, LAGUNA",GF MICRO OPTICS PHILIPPINES INC,2025-06-18T00:00:00Z,2670,12.8,85176249,EXW,7.36,BOX,HIGH DENSITY FIBER PATCH PANELS,,008d3bb0-2bc1-47dd-836f-cd1131dc261b,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1135
AUSTRALIA,,,AU,USD,"C103 G/F STANFORD TOWER CONDOMINIUM,1870 M.H. DEL PILAR ST., MALATE, MANILA",BORDERTRADE MANAGEMENT INC,2025-06-18T00:00:00Z,3981.79,4,85176249,DAP,0,PACKAGE,OTHER1 PIECE CISCO CODEC PRO SPAR,,22e11d4a-000d-4733-9c11-378b3b2d1206,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1136
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,226739.52,3126.2,85176241,DDP,0,PIECES,CABLE MODEM,,944ac980-37ea-45f0-b6a3-6aeb547cad8c,AS T2 TAG MOTION T2 UNIFIED TAG HUGS INFANT TAG,1137
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,34372.8,612,85176299,FCA,0,PIECES,ACCESS POINT,,a2d8223d-3c7d-4d3f-8d95-0ef6cbffb225,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1138
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,226739.52,3126.2,85176241,DDP,0,CARTON,CABLE MODEM,,0ba8ad79-b71b-4249-b215-4de1750ce237,AS T2 TAG MOTION T2 UNIFIED TAG HUGS INFANT TAG,1139
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,46027.2,952.8,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,674a36d3-fdaf-4c5c-a4a3-e21f89092330,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1140
ITALY,,,IT,EUR,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,2460,6,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,1678fc2d-ca95-472d-857f-6c6d4d1307ed,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1141
GERMANY,,,DE,EUR,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,224,1,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,5455cf88-df17-40bc-9496-d2fba99d97b9,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1142
UNITED STATES,"210 W STEWART HUSTON DR COATESVILLE PA 19320, UNITED STATES",CTDI PICS VZ RDC COATESVILLE,US,USD,"PANORAMA CMPD 3 LOT 3 BLK 1 EAST MAIN AVE PH5 LAGUNA TECHNOPARK-SEZ, BINAN CITY, LAGUNA",GF MICRO OPTICS PHILIPPINES INC,2025-06-18T00:00:00Z,1105000,526.6,85176242,DDP,153.84,BOX,WDM MULTI CHANNEL MUX DEMUX SELMUX LGX BOXED,,f95f42df-51d3-4d7f-9908-4b7854d9932e,WDM MULTI CHANNEL MUX DEMUX SELMUX LGX BOXED,1143
IRELAND,,,IE,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,159588,2836.8,85176299,FCA,0,PIECES,ACCESS POINT,,26447f02-a201-43a4-882b-86ea39fb1b8e,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1144
BOSNIA AND HERZEGOVINA,,,BA,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,100,7,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,4d58724e-8537-470c-9093-04df4a46631f,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1145
UNITED STATES,,,US,USD,"CIRCUIT ST LISP I-SEZ BRGY DIEZMO,, CABUYAO, LAGUNA",IONICS EMS INC,2025-06-18T00:00:00Z,7605.2,25,85176210,EXW,0,PACKAGE,T-MARC 340 AC,,cd1bd060-9596-423a-afab-e960803cd9fe,"POWER SUPPLY-(NOTE:THIS DECLARATION INCLUDES HS-85177029000,85177029000,85176210000,85176210000,85291099000,85177099000,-GOODS DESCRIPTION IS FOR THIS HS CODE. WEIGHT,QUANTITY AND VALUE FIGURES ARE FOR THE DECLARATION.)",1146
INDIA,,,IN,USD,"EZP WAREHOUSE NO.7 AND 8, BLOCK 2,LAGUNA TECHNO PARK ANNEX-SEZ,, BINAN LAGUNA",EWIC PHILIPPINES INC,2025-06-18T00:00:00Z,178128.86,2794.2,85176290,FOB,0,CARTON,SMARTWATCH (FINISHED GOODS),,db9b1311-efee-4046-b0db-2a879e57cd99,"UMIC2-G,UMIC 2 MINI USB GENERIC-COMMUNICATION ACCESSORIES",1147
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,36326.4,530.8,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,962d8aa1-d1a0-44f9-becd-a9b4e90b711f,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1148
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-18T00:00:00Z,23013.6,482.2,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,94573c39-4a70-4de6-aa0a-f35361da80b4,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1149
COLOMBIA,,,CO,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-17T00:00:00Z,16968,73,85176229,EXW,0,PACKAGE,"CERAGON-RFU-C, IP-10,IP-20,IDU",,0531c312-bb02-43fa-ba61-d52224ff17bc,"HOUSING PARTS OF MACHINES FOR THE TRANSMISSION DOOR-(NOTE:THIS DECLARATION INCLUDES HS-94036090,83024190,94034000,44111400,59119090,84145999,73064090,44189990,83025000,39174000,73181510,85176229,44219999,48211090,73269010,39269039,44181000,39172300,392590",1150
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-17T00:00:00Z,142018.56,2755.7,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,211e3e34-cdac-4e9d-bd4a-027884c44110,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1151
UNITED STATES,,,US,USD,"L4 INNOVATION DRIVE, CARMELRAY INDUSTRIAL PARK 1 SEZ BRGY. CANLUBANG, CALAMBA CITY, LAGUNA",SERCOMM PHILIPPINES INC BRANCH 2,2025-06-17T00:00:00Z,46027.2,952.8,85176299,FCA,0,PIECES,ACCESS POINT (ROUTER),,c08cb06f-794a-43f8-925c-aa07164a8a06,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1152
NAMIBIA,,,,USD,"B2-2 MAKILING DRIVE, CARMELRAY INDUSTRIAL PARK 2-SEZ CALAMBA, LAGUNA",IONICS EMS INC,2025-06-17T00:00:00Z,31613.9,375.2,85176299,EXW,0,PACKAGE,WIRELESS ACCESS POINT (FGS -ASSEMBLY FOR PCBA FOR BOX BUILD AND TEST),,4cb9155b-01a8-4e84-b7a9-ae35e200ea70,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1153
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,"UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOOR, CAVITE",LOCAS CONSUMER GOODS TRADING,2025-06-17T00:00:00Z,2451.6,118,85176299,FOB,107.19,PACKAGE,STC MUSICAL INSTRUMENTS,,9a54bdb2-b8a4-494f-867d-3c2d116b65e6,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1154
