product_desc,product_category
"25FU19J4161014A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345-SYS-JB-DC, ITEM 137 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161014A#&VN",GATEWAY DEVICE
"25FU19J4161039A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345-SYS-JB-T, ITEM 6 OF II LIST SPMMDS XK/676/GPXNK-BCY/08/28/2024. 100% NEW, P/N: FU19J4161039A#&VN",GATEWAY DEVICE
"25FU19J4161042A#&GATEWAY, MMDS PRODUCT, SRX345-SYS-JB-DC-U, ITEM 138 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161042A#&VN",GATEWAY
"25FU19J4161202A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345-SYS-JB, ITEM 133 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161202A #&VN",GATEWAY DEVICE
"25FU19J4161400A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345, ITEM 129 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161400A#&VN",GATEWAY DEVICE
"25FU19J4161400A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345, ITEM 129, II, SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161400A #&VN",GATEWAY DEVICE
"25FU19J4161402A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345-SYS-JB, ITEM 133 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161402A#&VN",GATEWAY DEVICE
"25FU19J4161404A#&GATEWAY DEVICE, MMDS PRODUCT, SRX345-SYS-JE, ITEM 140 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161404A#&VN",GATEWAY DEVICE
"25FU19J4161405A#&GATEWAY DEVICE, MMDS PRODUCT, SRX340-SYS-JB, ITEM 125, II, SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161405A #&VN",GATEWAY DEVICE
"25FU19J4161405A#&GATEWAY DEVICE, MMDS PRODUCT, SRX340-SYS-JB, ITEM 125, II, SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161405A#&VN",GATEWAY DEVICE
"25FU19J4161408A#&GATEWAY, MMDS PRODUCT, SRX345-SYS-JE-2AC, ITEM 141 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4161408A#&VN",GATEWAY
"25FU19J4201001A#&GATEWAY DEVICE, MMDS PRODUCT, SRX380-P-CHAS, ITEM 143, II, SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4201001A #&VN",GATEWAY DEVICE
"25FU19J4201002A#&AMP;DEVICE NETWORK PORT (GATEWAY), PRODUCT MMDS, SRX380-P-SYS-JB-AC, CUMSHOT, SECTION 144 BELONGING TO THE II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% BRAND NEW, P/N: FU19J4201002A #&AMP;VN",DEVICE NETWORK PORT (GATEWAY)
"25FU19J4201002A#&AMP;DEVICE NETWORK PORT (GATEWAY), PRODUCT MMDS, SRX380-P-SYS-JB-AC, CUMSHOT, SECTION 144 BELONGING TO THE II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% BRAND NEW, P/N: FU19J4201002A#&AMP;VN",DEVICE NETWORK PORT (GATEWAY)
"25FU19J4201002A#&GATEWAY DEVICE, MMDS PRODUCT, SRX380-P-SYS-JB-AC, ITEM 144 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4201002A#&VN",GATEWAY DEVICE
"25FU19J4201002A#&GATEWAY, MMDS PRODUCT, SRX380-P-SYS-JB-AC, ITEM 144 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4201002A#&VN #&VN",GATEWAY
"25FU19J4201006A#&GATEWAY DEVICE, MMDS PRODUCT, SRX380-SYS-JB-AC-T, ITEM 145 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4201006A#&VN",GATEWAY DEVICE
"25FU19J4201400A#&AMP;DEVICE NETWORK PORT (GATEWAY), PRODUCT MMDS, SRX380-P-SYS-JB-AC, CUMSHOT, SECTION 144 BELONGING TO THE II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% BRAND NEW, P/N: FU19J4201400A#&AMP;VN",DEVICE NETWORK PORT (GATEWAY)
"25FU19J4201400A#&GATEWAY, MMDS PRODUCT, SRX380-P-SYS-JB-AC, ITEM 144 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J4201400A#&VN",GATEWAY
"25FU19J5101008A#&GATEWAY, 650-109145, BRAND: JUNIPER NETWORKS, (PRODUCT DOES NOT CONTAIN CIVILIAN ENCRYPTION), 100% NEW, P/N: FU19J5101008A#&VN",GATEWAY
"25FU19J6221007A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC, ITEM 146 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J6221007A #&VN",GATEWAY DEVICE
"25FU19J6221007A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC, ITEM 146 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J6221007A#&VN",GATEWAY DEVICE
"25FU19J6221008A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC-TAA, ITEM 40 OF II CATEGORY SPMMDS XK/569/GPXNK-BCY/20/06/2025. 100% NEW, P/N: FU19J6221008A #&VN",GATEWAY DEVICE
"25FU19J6221008A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC-TAA, ITEM 40 OF II LIST SPMMDS XK/569/GPXNK-BCY/20/06/2025. 100% NEW, P/N: FU19J6221008A#&VN",GATEWAY DEVICE
"25FU19J6221008A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC-TAA, ITEM 8 OF II LIST SPMMDS XK/676/GPXNK-BCY/08/28/2024. 100% NEW, P/N: FU19J6221008A#&VN",GATEWAY DEVICE
"25FU19J6221008A#&NETWORK GATEWAY DEVICE (GATEWAY), SRX1600-AC-TAA, ITEM 40 OF II LIST SPMMDS XK/569/GPXNK-BCY/20/06/2025. 100% NEW, P/N: FU19J6221008A#&VN",NETWORK GATEWAY DEVICE
"25FU19J6221401A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC, ITEM 146 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J6221401A#&VN",GATEWAY DEVICE
"25FU19J6221401A#&GATEWAY DEVICE, MMDS PRODUCT, SRX1600-AC, ITEM 146 OF II LIST SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, PN: FU19J6221401A#&VN",GATEWAY DEVICE
"25FU19J7201004A#&GATEWAY DEVICE, MMDS PRODUCT, SRX2300-DC, ITEM 151 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7201004A#&VN",GATEWAY DEVICE
"25FU19J7201007A#&GATEWAY DEVICE, MMDS PRODUCT, SRX2300-AC-TAA, ITEM 10 OF II LIST SPMMDS XK/676/GPXNK-BCY/08/28/2024. 100% NEW, P/N: FU19J7201007A#&VN",GATEWAY DEVICE
"25FU19J7201008A#&GATEWAY DEVICE, MMDS PRODUCT, SRX2300-AC, ITEM 149 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7201008A#&VN",GATEWAY DEVICE
"25FU19J7201016A#&AMP;DEVICE NETWORK PORT (GATEWAY), SRX4120-AC, CUMSHOT, SECTION 46 BELONGING TO THE II CATEGORY SPMMDS XK/569/GPXNK-BCY/20/06/2025. 100% BRAND NEW, P/N: FU19J7201016A #&AMP;VN",GATEWAY
"25FU19J7201016A#&GATEWAY DEVICE, SRX4120-AC, ITEM 46, II, LIST SPMMDS XK/569/GPXNK-BCY/20/06/2025. 100% NEW, P/N: FU19J7201016A #&VN",GATEWAY DEVICE
"25FU19J7201401A#&GATEWAY DEVICE, MMDS PRODUCT, SRX2300-AC, ITEM 149 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7201401A #&VN",GATEWAY DEVICE
"25FU19J7201401A#&GATEWAY DEVICE, MMDS PRODUCT, SRX2300-AC, ITEM 149 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7201401A#&VN",GATEWAY DEVICE
"25FU19J7221001A#&GATEWAY DEVICE, MMDS PRODUCT, SRX4300-AC, ITEM 152 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7221001A #&VN",GATEWAY DEVICE
"25FU19J7221401A#&GATEWAY DEVICE, MMDS PRODUCT, SRX4300-AC, ITEM 152 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU19J7221401A#&VN",GATEWAY DEVICE
"25FU29J5161002A#&WIFI ROUTER, MMDS PRODUCT, NFX350-S1-AC, ITEM 91 OF II CATEGORY SPMMDS XK/80/GPXNK-BCY/07/02/2025. 100% NEW, P/N: FU29J5161002A#&VN",WIFI ROUTER
"25FWSJ62015001J#&SET TOP BOX SIGNAL CONVERTER. MODEL: PD-2000-L, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSJ62015002J#&SET-TOP-BOX SIGNAL CONVERTER. MODEL: PD-2000-V, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSJ62015003J#&SET TOP BOX SIGNAL CONVERTER. MODEL: PD-2000-LV, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSJ62015004J#&SET TOP BOX SIGNAL CONVERTER, MODEL: PD-2000-XL, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSJ62015004J#&SET TOP BOX SIGNAL CONVERTER. MODEL: PD-2000-XL, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSLS2012005J#&SET-TOP-BOX SIGNAL CONVERTER, MODEL: TV-BOX 5 (IP2300) KM, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSMG9213055J#&SIGNAL CONVERTER, MODEL: HMB9213NW22V3-MG 3C08S1-D1-H, 100% NEW#&VN",SIGNAL CONVERTER
"25FWSOW7015000J#&SET-TOP-BOX SIGNAL CONVERTER. MODEL: C02ES1, 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FWSOW7015003J#&SET TOP BOX SIGNAL CONVERTER, MODEL: C02ES1 (SON). 100% NEW#&VN",SET TOP BOX SIGNAL CONVERTER
"25FZE996202005J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: SUPERWIFI 2.0, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZE996202006J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: SUPER WIFI 2.0, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEHS6202000J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WN3000, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEJ66102014J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4EA, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEJ66102015J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4EA/N, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZEJ66102017J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZEJ66102018J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4/N, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZEJ66102019J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4/D, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZEJ66102020J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4EA MOCKUP, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZEJ66102021J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL: WEX-3000AX4 MOCKUP, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZELS8202003J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WLAN-BOX 5 NON BURN-IN. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZELS8302002J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WLAN-BOX 5 PRO PROD, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZELS8302006J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WLAN-BOX 5 PRO NON BURN-IN, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZESA4104021J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WE410443-SA(6DX) CON. S 2ND, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER
"25FZESA4104026J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WE410443B-SA, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZESA6102000J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WE610242-H2-SA, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZESA8102008J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: WE81024B-H2-SA. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZET06204000J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: T-MOBILE WI-FI EXTENDER, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZET08214000J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: T-MOBILE V2 WI-FI MESH ACCESS POINT. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZET08214002J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: T-MOBILE V2 WI-FI MESH ACCESS POINT, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZETG8204000J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: EAM2025, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224001J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES. MODEL E3200, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224002J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: E3200, 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224020J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: CE1000A 102. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224020J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: CE1000A. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224021J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: CE1000A 102 FWA. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25FZEVR7224021J#&WIRELESS NETWORK AMPLIFIER USING RADIO WAVES, MODEL: CE1000A. 100% NEW#&VN",WIRELESS NETWORK AMPLIFIER USING RADIO WAVES
"25GBASE-SR OPTICAL TRANSCEIVER-SFP28-25G MULTI-MODE(850NM,0.1KM,LC) OPTICAL MODULE, MANUFACTURER: HUAWEI, 100% NEW (SFP-25G-SR)(NO CIVIL AND ATTTM PASSWORD)#&CN",OPTICAL TRANSCEIVER
"25TRS25 CONVERTER WITH CABLE (BLUETOOTH MIDI CONVERTER FOR TRS/DIN MIDI DEVICES), 5V VOLTAGE. 100% BRAND NEW#&CN",CONVERTER
"26-PORT SWITCH FOR CAMERA, MODEL: DS-3E1326P-EI, HIKVISION BRAND, NO CIVIL PASSWORD, 100% NEW #&CN",SWITCH
"287407#&4X32 SPLITTER BOX WITH 1X8 OPTICAL SPLITTER SCA CONNECTOR; G657A1 HUB; 1.0M LONG, 100% NEW#&VN",SPLITTER BOX
"287408#&4X32 SPLITTER BOX WITH 1X16 OPTICAL SPLITTER SCA CONNECTOR; G657A1 HUB; 1.0M LONG, 100% NEW#&VN",SPLITTER BOX
287455#&4X32 SPLITTER BOX WITH 1X4 OPTICAL SPLITTER SCA CONNECTOR; G657A1 HUB; 1.0M LONG; 100% NEW#&VN,SPLITTER BOX
"287574#&SPLITTER BOX WITH 1X12 OPTICAL SPLITTER SCA CONNECTOR, G657A1, L=1M, 100% NEW#&VN",SPLITTER BOX
"287577#&1X4 OPTICAL SPLITTER 0.9MM TUBE SCA CONNECTOR, G657A1, L=0.5M, 100% NEW#&VN",OPTICAL SPLITTER
287578#&1X8 OPTICAL SPLITTER; SCA/SCA; G657A1 HUB; 7X4X60MM SPLITTER; 0.5M LONG; 100% NEW#&VN,OPTICAL SPLITTER
"2-HEAD OPTICAL CONVERTER, VOLTAGE UNDER 36V, TP-LINK BRAND, MADE IN CHINA. 100% NEW. PN /FAR002380-464#&CN",OPTICAL CONVERTER
"2-PORT ETHERNET TO 1-PORT OPTICAL SIGNAL CONVERTER MODEL 1200-S-SC-20 KM, 100% NEW#&CN",OPTICAL SIGNAL CONVERTER
"2-PORT SWITCH P/N: MSTDP122DP, MANUFACTURER: STARTECH (NO CIVIL ENCRYPTION FUNCTION), 100% NEW",SWITCH
"3#&GPIB-USB CONVERTER BRAND NATIONAL INSTRUMENTS USED TO CONNECT THE DEVICE TO PC, DOES NOT HAVE THE FUNCTION OF TRANSMITTING AND RECEIVING. USED GOODS#&HU",GPIB-USB CONVERTER
"302003402#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: A3002R AC1200 WIRELESS DUAL BAND GIGABIT ROUTER A3002R, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003457#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: LR350-300MBPS WIRELESS 4G LTE ROUTER100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003524#&WIRELESS NETWORK ROUTER, BRAND TOTOLINK MODEL: N200RE VERSION4 ZCW4IP04410C-1PT 300MBPS MINI WIRELESS N AP/ROUTER. 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003525#&WIRELESS NETWORK ROUTER, BRAND TOTOLINK MODEL: N200RE VERSION5 ZCW4IP04424A-1PT 300MBPS MINI WIRELESS N AP/ROUTER. 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003526#&WIRELESS NETWORK ROUTER, MODEL: N300RT 300MBPS WIRELESS ROUTER, BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003559#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: X2000R-V2AX1500 DUAL BAND GIGABIT ROUTER SAMPLE 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003560#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: X6000R AX3000 WIRELESS DUAL BAND GIGABIT ROUTER, SIZE: 32*29.5*6CM 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003589#&WIRELESS NETWORK ROUTER, BRAND TOTOLINK, MODEL: X2000R_V2 AX1500 WIRELESS DUAL BAND GIGABIT ROUTER. 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003590#&WIRELESS LAN ROUTER, BRAND IPTIME, MODEL: IPTIME A604SR 4PORT 11AC WIRELESS ROUTER. 100% NEW#&VN",WIRELESS LAN ROUTER
"302003591#&WIRELESS LAN ROUTER, BRAND IPTIME, MODEL: IPTIME A604VR 4PORT 11AC WIRELESS ROUTER. 100% NEW#&VN",WIRELESS LAN ROUTER
"302003611#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: X2000R-AX1500 WIRELESS DUAL BAND GIGABIT ROUTER100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003613#&WIRELESS NETWORK ROUTER, MODEL: A720R-AC1200 WIRELESS DUAL BAND ROUTER BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003615#&WIRELESS NETWORK ROUTER, MODEL: X6000R-AX3000 DUAL BAND WIRELESS GIGABIT WI-FI 6 ROUTER BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003632#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: X6000R AX3000 WIRELESS DUAL BAND GIGABIT ROUTER, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"302003639#&WIRELESS LAN ROUTER, BRAND IPTIME, MODEL: PTIME A604SRB 4PORT 11AC WIRELESS ROUTER. 100% NEW#&VN",WIRELESS LAN ROUTER
"302003667#&4G-LTE ROUTER WITH RADIO TRANSCEIVER, NEXG BRAND: MODEL: NEXG H-VPN 20ZION: IP04529) WIRED 4G LTE ROUTER MT7621A. 100% NEW#&VN",4G-LTE ROUTER WITH RADIO TRANSCEIVER
"303001018#&THE SWITCH IS A WIRED NETWORKING DEVICE, USED FOR INTERNAL NETWORKS, BRAND: TOTOLINK, MODEL: S808G 8-PORT GIGABIT UNMANAGEMENT SWITCH, 100% NEW#&VN",SWITCH
"303001020#&THE SWITCH IS A WIRED NETWORKING DEVICE, USED FOR INTERNAL NETWORKS, MODEL: S808G-8-PORT GIGABIT UNMANAGEMENT SWITCH BRAND: TOTOLINK, 100% NEW#&VN",SWITCH
"304001437#&WIRELESS LAN RADIO TRANSCEIVER, BRAND IPTIME, MODEL: IPTIME N150UA2USB WIRELESS LAN CARD, 100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001572#&WIRELESS LAN RADIO TRANSCEIVER, BRAND IPTIME, MODEL: IPTIME A3000U 11AC USB WIRELESS LAN CARD. 100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001576#&WIRELESS LAN RADIO TRANSCEIVER, BRAND IPTIME, MODEL: IPTIME A3000UA2 11AC WIRELESS USB LAN CARD. 100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001601#&WIRELESS LAN RADIO TRANSCEIVER, BRAND TOTOLINK, MODEL: A650USM AC650 WIRELESS DUAL BAND USB ADAPTER. 100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001605#&WIRELESS LAN RADIO TRANSCEIVER, BRAND: IPTIME, MODEL: IPTIME U1G USB 3.0 GIGABIT LAN CARD. 100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001609#&WIRELESS LAN RADIO TRANSMITTER AND RECEIVER, BRAND TOTOLINK, MODEL: X900UA AX900 WI-FI 6 DUAL BAND USB ADAPTER. 100% NEW#&VN",WIRELESS LAN RADIO TRANSMITTER AND RECEIVER
"304001610#&WIRELESS LAN RADIO TRANSCEIVER, BRAND TOTOLINK, MODEL: X900USM AX900 WI-FI 6 DUAL BAND USB ADAPTER.100% NEW#&VN",WIRELESS LAN RADIO TRANSCEIVER
"304001622#&WIRELESS NETWORK ROUTER, MODEL: N160USM-150MBPS NANO WIRELESS USB ADAPTERBRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"304001625#&WIRELESS NETWORK ROUTER, BRAND: TOTOLINK, MODEL: X6100UA AX1800 WIRELESS DUAL BAND USB ADAPTER, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"304001626#&WIRELESS NETWORK TRANSCEIVER, MODEL: A2000UA-AC1200 WIRELESS DUAL BAND USB ADAPTER BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK TRANSCEIVER
"306000880#&TOTOLINK BRAND WIRELESS TRANSCEIVER, MODEL: EX1200T AC1200 DUAL BAND WI-FI RANGE EXTENDER SIZE: 22*12.5*8.5CM. 100% NEW#&VN",WIRELESS TRANSCEIVER
"306000885#&WIRELESS NETWORK TRANSCEIVER, MODEL: EX200 300MBPS WIRELESS RANGE EXTENDER BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK TRANSCEIVER
"306000886#&WIRELESS NETWORK TRANSCEIVER, MODEL: EX1200T-AC1200 DUAL BAND WI-FI RANGE EXTENDER BRAND: TOTOLINK, 100% NEW#&VN",WIRELESS NETWORK TRANSCEIVER
"306000889#&AMP;EQUIPMENT, TRANSCEIVERS , WIRELESS NETWORKS, MODEL: AX3000 CEILING ACCESS POINT FLASH/RAM:16MB/256MB, BRAND: TOTOLINK, NEW GOODS 100%#&AMP;VN",CEILING ACCESS POINT
"307000275#&USB 3.0 TO GIGABIT SIGNAL CONVERTER MODEL: U1003-3-PORT USB 3.0 TYPE-C HUB WITH RJ45 GIGABIT ETHERNET BRAND: TOTOLINK, 100% NEW#&VN",USB 3.0 TO GIGABIT SIGNAL CONVERTER
"30-PORT FXS/FXO (4 E1 PORTS + 4 ETHERNET PORTS) TO OPTICAL CONVERTER (MODEL: OP-4E1+4ETH+30VO), VOICE SIGNAL TRANSMISSION DISTANCE: 40KM, VOLTAGE: 48VDC, BRAND: WINYUAN TECHNOLOGY#&CN",OPTICAL CONVERTER
"320-0005#&DUPLEXER FOR TWO-WAY COMMUNICATION SIGNAL, MODULE, OTHER 29X35 5-204/258-1794M GAP9, 100% NEW (BELONGS TO ITEM 1 OF DECLARATION 107213343900)#&IN",DUPLEXER
"320-0005#&DUPLEXER FOR TWO-WAY COMMUNICATION SIGNAL, MODULE, OTHER 29X35 5-204/258-1794M GAP9, 100% NEW (ITEM 1 OF DECLARATION 107213343900/E31)#&IN",DUPLEXER
"329000001#&WIRELESS NETWORK ROUTER, CAMBIUM BRAND, MODEL: C058900C599B EPMP 5GHZ FORCE 130 SM(UNPROGRAMMED). 100% NEW#&VN",WIRELESS NETWORK ROUTER
"329000003#&WIRELESS NETWORK ROUTER, CAMBIUM BRAND MODEL: C050940CX3XA EPMP 5 GHZ FORCE 4518 SM RADIO TANAPA (ROW) (NO CORD) . 100% NEW#&VN",WIRELESS NETWORK ROUTER
"329000003#&WIRELESS NETWORK ROUTER, CAMBIUM BRAND MODEL: C050940CX3XA EPMP 5 GHZ FORCE 4518 SM RADIO TANAPA, RE-EXPORT: TK:107174327150/G13, PRODUCT LINE NUMBER 01, 100% NEW#&VN",WIRELESS NETWORK ROUTER
"329000003#&WIRELESS NETWORK ROUTER, CAMBIUM BRAND MODEL: C050940CX3XA EPMP 5 GHZ FORCE 4518 SM RADIO TANAPA, RE-EXPORT: TK:107174327150/G13, PRODUCT LINE NUMBER 02, 100% NEW#&VN",WIRELESS NETWORK ROUTER
